Title,ISSN,Type,EncodedTitle
Journal of Logical and Algebraic Methods in Programming,23522208,Freedom,Journal%20of%20Logical%20and%20Algebraic%20Methods%20in%20Programming
Journal of Loss Prevention in the Process Industries,09504230,Freedom,Journal%20of%20Loss%20Prevention%20in%20the%20Process%20Industries
Journal of Magnetism and Magnetic Materials,03048853,Freedom,Journal%20of%20Magnetism%20and%20Magnetic%20Materials
Journal of Manipulative and Physiological Therapeutics,01614754,Freedom,Journal%20of%20Manipulative%20and%20Physiological%20Therapeutics
Journal of Manufacturing Processes,15266125,Freedom,Journal%20of%20Manufacturing%20Processes
Journal of Manufacturing Systems,02786125,Freedom,Journal%20of%20Manufacturing%20Systems
Journal of Marine Systems,09247963,Freedom,Journal%20of%20Marine%20Systems
Journal of Materials Processing Technology,09240136,Freedom,Journal%20of%20Materials%20Processing%20Technology
Journal of Materials Science & Technology,10050302,Freedom,Journal%20of%20Materials%20Science%20%26%20Technology
The Journal of Mathematical Behavior,07323123,Freedom,The%20Journal%20of%20Mathematical%20Behavior
Journal of Mathematical Psychology,00222496,Freedom,Journal%20of%20Mathematical%20Psychology
Journal de Mathématiques Pures et Appliquées,00217824,Freedom,Journal%20de%20Math%C3%A9matiques%20Pures%20et%20Appliqu%C3%A9es
Journal of the Mechanical Behavior of Biomedical Materials,17516161,Freedom,Journal%20of%20the%20Mechanical%20Behavior%20of%20Biomedical%20Materials
Journal of Molecular Liquids,01677322,Freedom,Journal%20of%20Molecular%20Liquids
Journal of Multinational Financial Management,1042444X,Freedom,Journal%20of%20Multinational%20Financial%20Management
Journal de Mycologie Médicale,11565233,Freedom,Journal%20de%20Mycologie%20M%C3%A9dicale
Journal of Natural Gas Science and Engineering,18755100,Freedom,Journal%20of%20Natural%20Gas%20Science%20and%20Engineering
Journal for Nature Conservation,16171381,Freedom,Journal%20for%20Nature%20Conservation
Journal of Neonatal Nursing,13551841,Freedom,Journal%20of%20Neonatal%20Nursing
Journal of Network and Computer Applications,10848045,Freedom,Journal%20of%20Network%20and%20Computer%20Applications
Journal of Neuroimmunology,01655728,Freedom,Journal%20of%20Neuroimmunology
Journal of Neurolinguistics,09116044,Freedom,Journal%20of%20Neurolinguistics
Journal of the Neurological Sciences,0022510X,Freedom,Journal%20of%20the%20Neurological%20Sciences
Journal of Neuroradiology,01509861,Freedom,Journal%20of%20Neuroradiology
Journal of Non-Crystalline Solids,00223093,Freedom,Journal%20of%20Non-Crystalline%20Solids
Journal of Nuclear Materials,00223115,Freedom,Journal%20of%20Nuclear%20Materials
The Journal for Nurse Practitioners,15554155,Freedom,The%20Journal%20for%20Nurse%20Practitioners
Journal of Nutrition Education and Behavior,14994046,Freedom,Journal%20of%20Nutrition%20Education%20and%20Behavior
The Journal of Nutritional Biochemistry,09552863,Freedom,The%20Journal%20of%20Nutritional%20Biochemistry
Journal of Obsessive-Compulsive and Related Disorders,22113649,Freedom,Journal%20of%20Obsessive-Compulsive%20and%20Related%20Disorders
Journal of Oral Biology and Craniofacial Research,22124268,Freedom,Journal%20of%20Oral%20Biology%20and%20Craniofacial%20Research
Journal of Oral Biosciences,13490079,Freedom,Journal%20of%20Oral%20Biosciences
"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",22125558,Freedom,Journal%20of%20Oral%20and%20Maxillofacial%20Surgery%2C%20Medicine%2C%20and%20Pathology
Journal of Orthopaedics,0972978X,Freedom,Journal%20of%20Orthopaedics
Journal of Outdoor Recreation and Tourism,22130780,Freedom,Journal%20of%20Outdoor%20Recreation%20and%20Tourism
The Journal of Pain,15265900,Freedom,The%20Journal%20of%20Pain
Journal of Pediatric Urology,14775131,Freedom,Journal%20of%20Pediatric%20Urology
Journal de Pédiatrie et de Puériculture,09877983,Freedom,Journal%20de%20P%C3%A9diatrie%20et%20de%20Pu%C3%A9riculture
Journal of Pharmaceutical and Biomedical Analysis,07317085,Freedom,Journal%20of%20Pharmaceutical%20and%20Biomedical%20Analysis
Journal of Pharmacological and Toxicological Methods,10568719,Freedom,Journal%20of%20Pharmacological%20and%20Toxicological%20Methods
Journal of Phonetics,00954470,Freedom,Journal%20of%20Phonetics
Journal of Policy Modeling,01618938,Freedom,Journal%20of%20Policy%20Modeling
Journal of Power Sources,03787753,Freedom,Journal%20of%20Power%20Sources
Journal of Pragmatics,03782166,Freedom,Journal%20of%20Pragmatics
Journal of Process Control,09591524,Freedom,Journal%20of%20Process%20Control
Journal of Professional Nursing,87557223,Freedom,Journal%20of%20Professional%20Nursing
The Journal of Prosthetic Dentistry,00223913,Freedom,The%20Journal%20of%20Prosthetic%20Dentistry
Journal of Prosthodontic Research,18831958,Freedom,Journal%20of%20Prosthodontic%20Research
Journal of Proteomics,18743919,Freedom,Journal%20of%20Proteomics
Journal of Purchasing and Supply Management,14784092,Freedom,Journal%20of%20Purchasing%20and%20Supply%20Management
Journal of Quantitative Spectroscopy and Radiative Transfer,00224073,Freedom,Journal%20of%20Quantitative%20Spectroscopy%20and%20Radiative%20Transfer
Journal of Radiology Nursing,15460843,Freedom,Journal%20of%20Radiology%20Nursing
Journal of Rail Transport Planning & Management,22109706,Freedom,Journal%20of%20Rail%20Transport%20Planning%20%26%20Management
Journal of Rare Earths,10020721,Freedom,Journal%20of%20Rare%20Earths
Journal of Reproductive Immunology,01650378,Freedom,Journal%20of%20Reproductive%20Immunology
Journal of Retailing,00224359,Freedom,Journal%20of%20Retailing
Journal of Retailing and Consumer Services,09696989,Freedom,Journal%20of%20Retailing%20and%20Consumer%20Services
Journal of Safety Research,00224375,Freedom,Journal%20of%20Safety%20Research
Journal of Science and Medicine in Sport,14402440,Freedom,Journal%20of%20Science%20and%20Medicine%20in%20Sport
Journal of Second Language Writing,10603743,Freedom,Journal%20of%20Second%20Language%20Writing
Journal of Solid State Chemistry,00224596,Freedom,Journal%20of%20Solid%20State%20Chemistry
Journal of Space Safety Engineering,24688967,Freedom,Journal%20of%20Space%20Safety%20Engineering
The Journal of Steroid Biochemistry and Molecular Biology,09600760,Freedom,The%20Journal%20of%20Steroid%20Biochemistry%20and%20Molecular%20Biology
"Journal of Stomatology, Oral and Maxillofacial Surgery",24687855,Freedom,Journal%20of%20Stomatology%2C%20Oral%20and%20Maxillofacial%20Surgery
Journal of Stored Products Research,0022474X,Freedom,Journal%20of%20Stored%20Products%20Research
The Journal of Strategic Information Systems,09638687,Freedom,The%20Journal%20of%20Strategic%20Information%20Systems
Journal of Stroke and Cerebrovascular Diseases,10523057,Freedom,Journal%20of%20Stroke%20and%20Cerebrovascular%20Diseases
Journal of Substance Abuse Treatment,07405472,Freedom,Journal%20of%20Substance%20Abuse%20Treatment
Journal of Surgical Education,19317204,Freedom,Journal%20of%20Surgical%20Education
Journal of the Taiwan Institute of Chemical Engineers,18761070,Freedom,Journal%20of%20the%20Taiwan%20Institute%20of%20Chemical%20Engineers
Journal of Terramechanics,00224898,Freedom,Journal%20of%20Terramechanics
Journal of Tissue Viability,0965206X,Freedom,Journal%20of%20Tissue%20Viability
Journal of Trace Elements in Medicine and Biology,0946672X,Freedom,Journal%20of%20Trace%20Elements%20in%20Medicine%20and%20Biology
Journal of Transport Geography,09666923,Freedom,Journal%20of%20Transport%20Geography
Journal of Transport & Health,22141405,Freedom,Journal%20of%20Transport%20%26%20Health
Journal of Vascular Nursing,10620303,Freedom,Journal%20of%20Vascular%20Nursing
Journal of Vascular Surgery: Venous and Lymphatic Disorders,2213333X,Freedom,Journal%20of%20Vascular%20Surgery%3A%20Venous%20and%20Lymphatic%20Disorders
Journal of Veterinary Behavior,15587878,Freedom,Journal%20of%20Veterinary%20Behavior
Journal of Veterinary Cardiology,17602734,Freedom,Journal%20of%20Veterinary%20Cardiology
Journal of Virological Methods,01660934,Freedom,Journal%20of%20Virological%20Methods
Journal of Visceral Surgery,18787886,Freedom,Journal%20of%20Visceral%20Surgery
Journal of Vocational Behavior,00018791,Freedom,Journal%20of%20Vocational%20Behavior
Journal of Voice,08921997,Freedom,Journal%20of%20Voice
Journal of Water Process Engineering,22147144,Freedom,Journal%20of%20Water%20Process%20Engineering
Journal of Web Semantics,15708268,Freedom,Journal%20of%20Web%20Semantics
Journal of Wind Engineering and Industrial Aerodynamics,01676105,Freedom,Journal%20of%20Wind%20Engineering%20and%20Industrial%20Aerodynamics
Journal of the World Federation of Orthodontists,22124438,Freedom,Journal%20of%20the%20World%20Federation%20of%20Orthodontists
"Kinésithérapie, la Revue",17790123,Freedom,Kin%C3%A9sith%C3%A9rapie%2C%20la%20Revue
The Knee,09680160,Freedom,The%20Knee
Krankenhaus-Hygiene + Infektionsverhütung,07203373,Freedom,Krankenhaus-Hygiene%20%2B%20Infektionsverh%C3%BCtung
Land Use Policy,02648377,Freedom,Land%20Use%20Policy
Language & Communication,02715309,Freedom,Language%20%26%20Communication
Language Sciences,03880001,Freedom,Language%20Sciences
The Leadership Quarterly,10489843,Freedom,The%20Leadership%20Quarterly
"Learning, Culture and Social Interaction",22106561,Freedom,Learning%2C%20Culture%20and%20Social%20Interaction
Learning and Individual Differences,10416080,Freedom,Learning%20and%20Individual%20Differences
Learning and Instruction,09594752,Freedom,Learning%20and%20Instruction
Legal Medicine,13446223,Freedom,Legal%20Medicine
Library & Information Science Research,07408188,Freedom,Library%20%26%20Information%20Science%20Research
Life Sciences,00243205,Freedom,Life%20Sciences
Life Sciences in Space Research,22145524,Freedom,Life%20Sciences%20in%20Space%20Research
Lingua,00243841,Freedom,Lingua
Linguistics and Education,08985898,Freedom,Linguistics%20and%20Education
Livestock Science,18711413,Freedom,Livestock%20Science
LWT,00236438,Freedom,LWT
Manufacturing Letters,22138463,Freedom,Manufacturing%20Letters
Marine Genomics,18747787,Freedom,Marine%20Genomics
Marine and Petroleum Geology,02648172,Freedom,Marine%20and%20Petroleum%20Geology
Marine Structures,09518339,Freedom,Marine%20Structures
Materialia,25891529,Freedom,Materialia
Materials Characterization,10445803,Freedom,Materials%20Characterization
Materials Today,13697021,Freedom,Materials%20Today
Materials Today Chemistry,24685194,Freedom,Materials%20Today%20Chemistry
Materials Today Communications,23524928,Freedom,Materials%20Today%20Communications
Materials Today Energy,24686069,Freedom,Materials%20Today%20Energy
Materials Today Nano,25888420,Freedom,Materials%20Today%20Nano
Materials Today Physics,25425293,Freedom,Materials%20Today%20Physics
Materials Today: Proceedings,22147853,Freedom,Materials%20Today%3A%20Proceedings
Materials Today Sustainability,25892347,Freedom,Materials%20Today%20Sustainability
Matrix Biology,0945053X,Freedom,Matrix%20Biology
Maturitas,03785122,Freedom,Maturitas
Measurement,02632241,Freedom,Measurement
Meat Science,03091740,Freedom,Meat%20Science
Mechanics Research Communications,00936413,Freedom,Mechanics%20Research%20Communications
Mechatronics,09574158,Freedom,Mechatronics
Médecine & Droit,12467391,Freedom,M%C3%A9decine%20%26%20Droit
Médecine et Maladies Infectieuses,0399077X,Freedom,M%C3%A9decine%20et%20Maladies%20Infectieuses
Médecine Nucléaire,09281258,Freedom,M%C3%A9decine%20Nucl%C3%A9aire
Medical Hypotheses,03069877,Freedom,Medical%20Hypotheses
Medical Journal Armed Forces India,03771237,Freedom,Medical%20Journal%20Armed%20Forces%20India
Medicina Clínica (English Edition),23870206,Freedom,Medicina%20Cl%C3%ADnica%20%28English%20Edition%29
Medicina Intensiva (English Edition),21735727,Freedom,Medicina%20Intensiva%20%28English%20Edition%29
Medicine,13573039,Freedom,Medicine
Mendeleev Communications,09599436,Freedom,Mendeleev%20Communications
Mental Health and Physical Activity,17552966,Freedom,Mental%20Health%20and%20Physical%20Activity
Mental Health & Prevention,22126570,Freedom,Mental%20Health%20%26%20Prevention
Meta Gene,22145400,Freedom,Meta%20Gene
Metabolic Engineering,10967176,Freedom,Metabolic%20Engineering
Metal Powder Report,00260657,Freedom,Metal%20Powder%20Report
Microbes and Infection,12864579,Freedom,Microbes%20and%20Infection
Microbial Pathogenesis,08824010,Freedom,Microbial%20Pathogenesis
Microbial Risk Analysis,23523522,Freedom,Microbial%20Risk%20Analysis
Microbiological Research,09445013,Freedom,Microbiological%20Research
Microchemical Journal,0026265X,Freedom,Microchemical%20Journal
Micron,09684328,Freedom,Micron
Microporous and Mesoporous Materials,13871811,Freedom,Microporous%20and%20Mesoporous%20Materials
Microvascular Research,00262862,Freedom,Microvascular%20Research
Midwifery,02666138,Freedom,Midwifery
Minerals Engineering,08926875,Freedom,Minerals%20Engineering
Mitochondrion,15677249,Freedom,Mitochondrion
Molecular Aspects of Medicine,00982997,Freedom,Molecular%20Aspects%20of%20Medicine
Molecular Astrophysics,24056758,Freedom,Molecular%20Astrophysics
Molecular and Biochemical Parasitology,01666851,Freedom,Molecular%20and%20Biochemical%20Parasitology
Molecular Catalysis,24688231,Freedom,Molecular%20Catalysis
Molecular and Cellular Endocrinology,03037207,Freedom,Molecular%20and%20Cellular%20Endocrinology
Molecular and Cellular Probes,08908508,Freedom,Molecular%20and%20Cellular%20Probes
Multiple Sclerosis and Related Disorders,22110348,Freedom,Multiple%20Sclerosis%20and%20Related%20Disorders
Mutation Research/Fundamental and Molecular Mechanisms of Mutagenesis,00275107,Freedom,Mutation%20Research%2FFundamental%20and%20Molecular%20Mechanisms%20of%20Mutagenesis
Mutation Research/Genetic Toxicology and Environmental Mutagenesis,13835718,Freedom,Mutation%20Research%2FGenetic%20Toxicology%20and%20Environmental%20Mutagenesis
Mutation Research/Reviews in Mutation Research,13835742,Freedom,Mutation%20Research%2FReviews%20in%20Mutation%20Research
Nano Communication Networks,18787789,Freedom,Nano%20Communication%20Networks
Nano Energy,22112855,Freedom,Nano%20Energy
Nano-Structures & Nano-Objects,2352507X,Freedom,Nano-Structures%20%26%20Nano-Objects
Nano Today,17480132,Freedom,Nano%20Today
NanoImpact,24520748,Freedom,NanoImpact
"Nanomedicine: Nanotechnology, Biology and Medicine",15499634,Freedom,Nanomedicine%3A%20Nanotechnology%2C%20Biology%20and%20Medicine
NDT & E International,09638695,Freedom,NDT%20%26%20E%20International
Néphrologie & Thérapeutique,17697255,Freedom,N%C3%A9phrologie%20%26%20Th%C3%A9rapeutique
Network Security,13534858,Freedom,Network%20Security
Neurobiology of Aging,01974580,Freedom,Neurobiology%20of%20Aging
Neurochemistry International,01970186,Freedom,Neurochemistry%20International
Neurochirurgie,00283770,Freedom,Neurochirurgie
Neurocirugía (English Edition),25298496,Freedom,Neurocirug%C3%ADa%20%28English%20Edition%29
"Neurology, Psychiatry and Brain Research",09419500,Freedom,Neurology%2C%20Psychiatry%20and%20Brain%20Research
Neuropeptides,01434179,Freedom,Neuropeptides
Neurophysiologie Clinique,09877053,Freedom,Neurophysiologie%20Clinique
Das Neurophysiologie-Labor,14394847,Freedom,Das%20Neurophysiologie-Labor
Neuropsychiatrie de l'Enfance et de l'Adolescence,02229617,Freedom,Neuropsychiatrie%20de%20l%27Enfance%20et%20de%20l%27Adolescence
Neuropsychologia,00283932,Freedom,Neuropsychologia
Neuroscience Research,01680102,Freedom,Neuroscience%20Research
NeuroToxicology,0161813X,Freedom,NeuroToxicology
Neurotoxicology and Teratology,08920362,Freedom,Neurotoxicology%20and%20Teratology
New Astronomy,13841076,Freedom,New%20Astronomy
New Astronomy Reviews,13876473,Freedom,New%20Astronomy%20Reviews
New Carbon Materials,18725805,Freedom,New%20Carbon%20Materials
New Ideas in Psychology,0732118X,Freedom,New%20Ideas%20in%20Psychology
NJAS - Wageningen Journal of Life Sciences,15735214,Freedom,NJAS%20-%20Wageningen%20Journal%20of%20Life%20Sciences
Nonlinear Analysis: Hybrid Systems,1751570X,Freedom,Nonlinear%20Analysis%3A%20Hybrid%20Systems
Nonlinear Analysis: Real World Applications,14681218,Freedom,Nonlinear%20Analysis%3A%20Real%20World%20Applications
The North American Journal of Economics and Finance,10629408,Freedom,The%20North%20American%20Journal%20of%20Economics%20and%20Finance
Nuclear Engineering and Design,00295493,Freedom,Nuclear%20Engineering%20and%20Design
Nurse Education in Practice,14715953,Freedom,Nurse%20Education%20in%20Practice
Nurse Education Today,02606917,Freedom,Nurse%20Education%20Today
Nurse Leader,15414612,Freedom,Nurse%20Leader
Nutrition Clinique et Métabolisme,09850562,Freedom,Nutrition%20Clinique%20et%20M%C3%A9tabolisme
"Nutrition, Metabolism and Cardiovascular Diseases",09394753,Freedom,Nutrition%2C%20Metabolism%20and%20Cardiovascular%20Diseases
Nutrition Research,02715317,Freedom,Nutrition%20Research
Obesity Medicine,24518476,Freedom,Obesity%20Medicine
Obesity Research & Clinical Practice,1871403X,Freedom,Obesity%20Research%20%26%20Clinical%20Practice
"Obstetrics, Gynaecology & Reproductive Medicine",17517214,Freedom,Obstetrics%2C%20Gynaecology%20%26%20Reproductive%20Medicine
Ocean Engineering,00298018,Freedom,Ocean%20Engineering
Ocean Modelling,14635003,Freedom,Ocean%20Modelling
The Ocular Surface,15420124,Freedom,The%20Ocular%20Surface
Online Social Networks and Media,24686964,Freedom,Online%20Social%20Networks%20and%20Media
Operations Research for Health Care,22116923,Freedom,Operations%20Research%20for%20Health%20Care
Operative Techniques in Orthopaedics,10486666,Freedom,Operative%20Techniques%20in%20Orthopaedics
Operative Techniques in Otolaryngology-Head and Neck Surgery,10431810,Freedom,Operative%20Techniques%20in%20Otolaryngology-Head%20and%20Neck%20Surgery
Operative Techniques in Sports Medicine,10601872,Freedom,Operative%20Techniques%20in%20Sports%20Medicine
Operative Techniques in Thoracic and Cardiovascular Surgery,15222942,Freedom,Operative%20Techniques%20in%20Thoracic%20and%20Cardiovascular%20Surgery
Optical Fiber Technology,10685200,Freedom,Optical%20Fiber%20Technology
Optics and Lasers in Engineering,01438166,Freedom,Optics%20and%20Lasers%20in%20Engineering
Optik,00304026,Freedom,Optik
Option/Bio,09925945,Freedom,Option%2FBio
Opto-Electronics Review,12303402,Freedom,Opto-Electronics%20Review
Organizational Dynamics,00902616,Freedom,Organizational%20Dynamics
Orthodontic Waves,13440241,Freedom,Orthodontic%20Waves
Orthopaedics and Trauma,18771327,Freedom,Orthopaedics%20and%20Trauma
Orthopaedics & Traumatology: Surgery & Research,18770568,Freedom,Orthopaedics%20%26%20Traumatology%3A%20Surgery%20%26%20Research
Osteopathische Medizin,16159071,Freedom,Osteopathische%20Medizin
Pacific-Basin Finance Journal,0927538X,Freedom,Pacific-Basin%20Finance%20Journal
Paediatric Respiratory Reviews,15260542,Freedom,Paediatric%20Respiratory%20Reviews
Paediatrics and Child Health,17517222,Freedom,Paediatrics%20and%20Child%20Health
Pain Management Nursing,15249042,Freedom,Pain%20Management%20Nursing
Palaeoworld,1871174X,Freedom,Palaeoworld
Pancreatology,14243903,Freedom,Pancreatology
Parasitology International,13835769,Freedom,Parasitology%20International
Parkinsonism & Related Disorders,13538020,Freedom,Parkinsonism%20%26%20Related%20Disorders
Particuology,16742001,Freedom,Particuology
Pathology,00313025,Freedom,Pathology
Pathology - Research and Practice,03440338,Freedom,Pathology%20-%20Research%20and%20Practice
Pathophysiology,09284680,Freedom,Pathophysiology
Pediatric Dental Journal,09172394,Freedom,Pediatric%20Dental%20Journal
Pedosphere,10020160,Freedom,Pedosphere
Peptides,01969781,Freedom,Peptides
Performance Enhancement & Health,22112669,Freedom,Performance%20Enhancement%20%26%20Health
Perioperative Care and Operating Room Management,24056030,Freedom,Perioperative%20Care%20and%20Operating%20Room%20Management
Personalized Medicine in Psychiatry,24681717,Freedom,Personalized%20Medicine%20in%20Psychiatry
Personalized Medicine Universe,21864950,Freedom,Personalized%20Medicine%20Universe
Pervasive and Mobile Computing,15741192,Freedom,Pervasive%20and%20Mobile%20Computing
Pesticide Biochemistry and Physiology,00483575,Freedom,Pesticide%20Biochemistry%20and%20Physiology
Pharmacological Reports,17341140,Freedom,Pharmacological%20Reports
Pharmacological Research,10436618,Freedom,Pharmacological%20Research
PharmaNutrition,22134344,Freedom,PharmaNutrition
Photodiagnosis and Photodynamic Therapy,15721000,Freedom,Photodiagnosis%20and%20Photodynamic%20Therapy
Photonics and Nanostructures - Fundamentals and Applications,15694410,Freedom,Photonics%20and%20Nanostructures%20-%20Fundamentals%20and%20Applications
Physica Medica,11201797,Freedom,Physica%20Medica
Physical Communication,18744907,Freedom,Physical%20Communication
Physical Therapy in Sport,1466853X,Freedom,Physical%20Therapy%20in%20Sport
Physics of the Dark Universe,22126864,Freedom,Physics%20of%20the%20Dark%20Universe
Physics of Life Reviews,15710645,Freedom,Physics%20of%20Life%20Reviews
Physiological and Molecular Plant Pathology,08855765,Freedom,Physiological%20and%20Molecular%20Plant%20Pathology
Phytochemistry Letters,18743900,Freedom,Phytochemistry%20Letters
Phytomedicine,09447113,Freedom,Phytomedicine
Planetary and Space Science,00320633,Freedom,Planetary%20and%20Space%20Science
Plant Gene,23524073,Freedom,Plant%20Gene
Plasmid,0147619X,Freedom,Plasmid
Polar Science,18739652,Freedom,Polar%20Science
Polymer Degradation and Stability,01413910,Freedom,Polymer%20Degradation%20and%20Stability
Polymer Testing,01429418,Freedom,Polymer%20Testing
Postharvest Biology and Technology,09255214,Freedom,Postharvest%20Biology%20and%20Technology
Powder Technology,00325910,Freedom,Powder%20Technology
Pratiques Psychologiques,12691763,Freedom,Pratiques%20Psychologiques
Precision Engineering,01416359,Freedom,Precision%20Engineering
Pregnancy Hypertension,22107789,Freedom,Pregnancy%20Hypertension
La Presse Médicale,07554982,Freedom,La%20Presse%20M%C3%A9dicale
Preventive Veterinary Medicine,01675877,Freedom,Preventive%20Veterinary%20Medicine
Primary Care Diabetes,17519918,Freedom,Primary%20Care%20Diabetes
Probabilistic Engineering Mechanics,02668920,Freedom,Probabilistic%20Engineering%20Mechanics
Proceedings of the Combustion Institute,15407489,Freedom,Proceedings%20of%20the%20Combustion%20Institute
Proceedings of the Geologists’ Association,00167878,Freedom,Proceedings%20of%20the%20Geologists%E2%80%99%20Association
Process Safety and Environmental Protection,09575820,Freedom,Process%20Safety%20and%20Environmental%20Protection
Progress in Biophysics and Molecular Biology,00796107,Freedom,Progress%20in%20Biophysics%20and%20Molecular%20Biology
Progress in Crystal Growth and Characterization of Materials,09608974,Freedom,Progress%20in%20Crystal%20Growth%20and%20Characterization%20of%20Materials
Progress in Energy and Combustion Science,03601285,Freedom,Progress%20in%20Energy%20and%20Combustion%20Science
Progress in Lipid Research,01637827,Freedom,Progress%20in%20Lipid%20Research
Progress in Nuclear Energy,01491970,Freedom,Progress%20in%20Nuclear%20Energy
Progress in Nuclear Magnetic Resonance Spectroscopy,00796565,Freedom,Progress%20in%20Nuclear%20Magnetic%20Resonance%20Spectroscopy
Progress in Organic Coatings,03009440,Freedom,Progress%20in%20Organic%20Coatings
Progress in Particle and Nuclear Physics,01466410,Freedom,Progress%20in%20Particle%20and%20Nuclear%20Physics
Progress in Pediatric Cardiology,10589813,Freedom,Progress%20in%20Pediatric%20Cardiology
Progress in Planning,03059006,Freedom,Progress%20in%20Planning
Progress in Polymer Science,00796700,Freedom,Progress%20in%20Polymer%20Science
Progress in Solid State Chemistry,00796786,Freedom,Progress%20in%20Solid%20State%20Chemistry
Progress in Surface Science,00796816,Freedom,Progress%20in%20Surface%20Science
"Prostaglandins, Leukotrienes and Essential Fatty Acids",09523278,Freedom,Prostaglandins%2C%20Leukotrienes%20and%20Essential%20Fatty%20Acids
Prostaglandins & Other Lipid Mediators,10988823,Freedom,Prostaglandins%20%26%20Other%20Lipid%20Mediators
Psychologie Française,00332984,Freedom,Psychologie%20Fran%C3%A7aise
Psychology of Sport and Exercise,14690292,Freedom,Psychology%20of%20Sport%20and%20Exercise
Psychoneuroendocrinology,03064530,Freedom,Psychoneuroendocrinology
Psychosomatics,00333182,Freedom,Psychosomatics
Public Health,00333506,Freedom,Public%20Health
Public Relations Review,03638111,Freedom,Public%20Relations%20Review
Pulmonary Pharmacology & Therapeutics,10945539,Freedom,Pulmonary%20Pharmacology%20%26%20Therapeutics
The Quarterly Review of Economics and Finance,10629769,Freedom,The%20Quarterly%20Review%20of%20Economics%20and%20Finance
Quaternary Geochronology,18711014,Freedom,Quaternary%20Geochronology
Radiation Measurements,13504487,Freedom,Radiation%20Measurements
Radiation Physics and Chemistry,0969806X,Freedom,Radiation%20Physics%20and%20Chemistry
Radiography,10788174,Freedom,Radiography
Radiología (English Edition),21735107,Freedom,Radiolog%C3%ADa%20%28English%20Edition%29
REACH,23523093,Freedom,REACH
Reactive and Functional Polymers,13815148,Freedom,Reactive%20and%20Functional%20Polymers
Regional Studies in Marine Science,23524855,Freedom,Regional%20Studies%20in%20Marine%20Science
Regulatory Toxicology and Pharmacology,02732300,Freedom,Regulatory%20Toxicology%20and%20Pharmacology
Reinforced Plastics,00343617,Freedom,Reinforced%20Plastics
Remote Sensing Applications: Society and Environment,23529385,Freedom,Remote%20Sensing%20Applications%3A%20Society%20and%20Environment
Renewable Energy,09601481,Freedom,Renewable%20Energy
Renewable Energy Focus,17550084,Freedom,Renewable%20Energy%20Focus
Renewable and Sustainable Energy Reviews,13640321,Freedom,Renewable%20and%20Sustainable%20Energy%20Reviews
Reports of Practical Oncology & Radiotherapy,15071367,Freedom,Reports%20of%20Practical%20Oncology%20%26%20Radiotherapy
Reproductive Biology,1642431X,Freedom,Reproductive%20Biology
Reproductive BioMedicine Online,14726483,Freedom,Reproductive%20BioMedicine%20Online
Reproductive Toxicology,08906238,Freedom,Reproductive%20Toxicology
Research in Autism Spectrum Disorders,17509467,Freedom,Research%20in%20Autism%20Spectrum%20Disorders
Research in Developmental Disabilities,08914222,Freedom,Research%20in%20Developmental%20Disabilities
Research in Economics,10909443,Freedom,Research%20in%20Economics
Research in International Business and Finance,02755319,Freedom,Research%20in%20International%20Business%20and%20Finance
Research in Microbiology,09232508,Freedom,Research%20in%20Microbiology
Research in Organizational Behavior,01913085,Freedom,Research%20in%20Organizational%20Behavior
Research in Social and Administrative Pharmacy,15517411,Freedom,Research%20in%20Social%20and%20Administrative%20Pharmacy
Research in Social Stratification and Mobility,02765624,Freedom,Research%20in%20Social%20Stratification%20and%20Mobility
Research in Transportation Business & Management,22105395,Freedom,Research%20in%20Transportation%20Business%20%26%20Management
Research in Transportation Economics,07398859,Freedom,Research%20in%20Transportation%20Economics
Research in Veterinary Science,00345288,Freedom,Research%20in%20Veterinary%20Science
Resource and Energy Economics,09287655,Freedom,Resource%20and%20Energy%20Economics
Resources Policy,03014207,Freedom,Resources%20Policy
Respiratory Investigation,22125345,Freedom,Respiratory%20Investigation
Respiratory Physiology & Neurobiology,15699048,Freedom,Respiratory%20Physiology%20%26%20Neurobiology
Resuscitation,03009572,Freedom,Resuscitation
Reumatología Clínica (English Edition),21735743,Freedom,Reumatolog%C3%ADa%20Cl%C3%ADnica%20%28English%20Edition%29
Revista Científica de la Sociedad de Enfermería Neurológica (English ed.),2530299X,Freedom,Revista%20Cient%C3%ADfica%20de%20la%20Sociedad%20de%20Enfermer%C3%ADa%20Neurol%C3%B3gica%20%28English%20ed.%29
Revista Clínica Española (English Edition),22548874,Freedom,Revista%20Cl%C3%ADnica%20Espa%C3%B1ola%20%28English%20Edition%29
Revista Colombiana de Psiquiatría (English ed.),25303120,Freedom,Revista%20Colombiana%20de%20Psiquiatr%C3%ADa%20%28English%20ed.%29
Revista Española de Anestesiología y Reanimación (English Edition),23411929,Freedom,Revista%20Espa%C3%B1ola%20de%20Anestesiolog%C3%ADa%20y%20Reanimaci%C3%B3n%20%28English%20Edition%29
Revista Española de Cardiología (English Edition),18855857,Freedom,Revista%20Espa%C3%B1ola%20de%20Cardiolog%C3%ADa%20%28English%20Edition%29
Revista Española de Cirugía Ortopédica y Traumatología (English Edition),19888856,Freedom,Revista%20Espa%C3%B1ola%20de%20Cirug%C3%ADa%20Ortop%C3%A9dica%20y%20Traumatolog%C3%ADa%20%28English%20Edition%29
